ECCode,ECName,ShowInES,IsUnit,UnitTypename,ECTypename,ExpMarkupTypename,Markup,UnitRate,BillStatusname,DirectBaseCode,DirectBasename,OHBaseCode,OHBasename,BilledDirectBaseCode,BilledDirectBasename,BilledMarkupBaseCode,BilledMarkupBasename,UnBilledBaseCode,UnBilledBasename,CurrencyCode,PMCmtRequired,IntCmtRequired,IsNonReim,_IsActive,_QBO_Type
MN-EXP-00089,PmntDiscount_Printing & Reproductions,TRUE,FALSE,,,,,,,Printing & Reproductions,,,,Printing & Reproductions,,,,,,,,,,TRUE,Service
MN-EXP-00090,PmntDiscount_Reimbursable Expenses,TRUE,FALSE,,,,,,,Miscellaneous Expenses,,,,Miscellaneous,,,,,,,,,,TRUE,Service
MN-EXP-00091,Procurement FF&E,TRUE,FALSE,,,,,,,Procurement FF&E,,,,A7 Supplemental Services,,,,,,,,,,TRUE,Service
MN-EXP-00092,Civil/Landscape Consultant,TRUE,FALSE,,,,,,,Civil/Landscape Consultants,,,,Civil/Landscape Consultants,,,,,,,,,,TRUE,Service
MN-EXP-00093,Credit Card Processing Fees,TRUE,FALSE,,,,,,,,,,,Credit Card Processing Fees,,,,,,,,,,TRUE,Service
MN-EXP-00094,Misc. Reimbursable Expenses,TRUE,FALSE,,,,,,,Miscellaneous Expenses,,,,Miscellaneous,,,,,,,,,,TRUE,Service
MN-EXP-00095,Other Consultants,TRUE,FALSE,,,,,,,Other Consultants,,,,Other Consultants,,,,,,,,,,TRUE,Service
MN-EXP-00096,Plan Approval Fees,TRUE,FALSE,,,,,,,Plan Approval Fees,,,,Plan Approval Fees,,,,,,,,,,TRUE,Service
MN-EXP-00097,Postage and Delivery,TRUE,FALSE,,,,,,,Postage & Delivery,,,,Postage & Delivery,,,,,,,,,,TRUE,Service
MN-EXP-00098,Printing,TRUE,FALSE,,,,,,,Printing & Reproductions,,,,Printing & Reproductions,,,,,,,,,,TRUE,Service
MN-EXP-00099,Reimbursable Expenses,TRUE,FALSE,,,,,,,Credit Card Processing Fees,,,,Miscellaneous,,,,,,,,,,TRUE,Service
MN-EXP-00100,Structural Consultant,TRUE,FALSE,,,,,,,Structural Consultants,,,,Structural Consultants,,,,,,,,,,TRUE,Service
MN-EXP-00101,Telephone/Faxes,TRUE,FALSE,,,,,,,Miscellaneous Expenses,,,,Miscellaneous,,,,,,,,,,TRUE,Service
MN-EXP-00102,Travel Expenses,TRUE,FALSE,,,,,,,Travel,,,,Travel,,,,,,,,,,TRUE,Service
MN-EXP-00103,Sales,TRUE,FALSE,,,,,,,Billable Time,,,,Reimbursed Expenses - Income,,,,,,,,,,TRUE,Service
MN-EXP-00104,Structural Consultant,TRUE,FALSE,,,,,,,Structural Consultant,,,,Reimbursed Expenses - Income,,,,,,,,,,TRUE,Service
