BaseCode,BaseName,Description,IsActive,Is1099,IsSubcontractor,FinancialType,SubledgerType,MetricType,CostType,PMType,LaborRevenueType,ExpenseRevenueType,_QBO_AccountType,_QBO_SubType
402,Healthcare,Design services income,TRUE,,,Revenue,,,,,,,Income,SalesOfProductIncome
QBO-134,highland bank loan,,TRUE,,,Liability,,,,,,,Long Term Liability,OtherLongTermLiabilities
971,IDStudio4 Expenses,IDStudio4 Expenses,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
700,Indirect Expenses,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
734,Advertising/Promotions,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
701,Ask My Accountant,"Transactions to be discussed with accountant, consultant, or tax preparer",TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
760,Bad Debt Expenses,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
765,Bank Charges,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
768,Computer Supplies,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
732,Conferences and Client Events,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
762,Credit Card Processing Fees,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
767,Drafting Expenses,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
780,Dues/Subscriptions,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
737,Employee Appreciation,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
740,Employee Benefit,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
721,Equipment Rental,Rent paid for rented equipment used for business,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
752,Gas/Maintenance,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
715,Indirect Labor - Employees,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
735,Insurance,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
735.3,Disability Insurance,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
736,Employer HSA,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
735.6,General/Auto,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
735.4,Group Health,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
735.5,Liability,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
735.7,Officer HSA contributions,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
735.2,Officer Life Insurance,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
